swarm0,swarm1,swarm2,swarm3,swarm4,swarm5,swarm6,swarm7,swarm8,swarm9,swarm10,swarm11,swarm12,swarm13,swarm14,swarm15,swarm16,swarm17,swarm18,swarm19,swarm20,swarm21,swarm22,swarm23,swarm24,swarm25,swarm26,swarm27,swarm28,swarm29,swarm30,swarm31,swarm32,swarm33,swarm34,swarm35,swarm36,swarm37,swarm38,swarm39,swarm40,swarm41,swarm42,swarm43,swarm44,swarm45,swarm46,swarm47,swarm48,swarm49,swarm50,swarm51,swarm52,swarm53,swarm54,swarm55,swarm56,swarm57,swarm58,swarm59,swarm60,swarm61,swarm62,swarm63,swarm64,swarm65,swarm66,swarm67,swarm68,swarm69,swarm70,swarm71,swarm72,swarm73,swarm74,swarm75,swarm76,swarm77,swarm78,swarm79,swarm80,swarm81,swarm82,swarm83,swarm84,swarm85,swarm86,swarm87,swarm88,swarm89,swarm90,swarm91,swarm92,swarm93,swarm94,swarm95,swarm96,swarm97,swarm98,swarm99
[4.816675 5.250157],[5.444735 5.792275],[3.961025 4.126888],[5.442729 4.440518],[5.731986 5.164694],[5.412318 5.910960],[5.073164 5.447655],[5.145543 5.642642],[4.963809 5.213181],[5.758243 4.951370],[5.035635 4.050903],[5.020479 5.094158],[5.138200 4.838564],[3.953444 5.314104],[5.194294 5.588741],[5.391488 4.829200],[5.184284 5.048052],[4.730459 5.289660],[4.906860 5.225486],[3.987326 6.469786],[5.126454 5.460173],[5.541331 4.816674],[5.005174 5.589073],[4.393218 4.935369],[5.137367 5.592479],[4.920767 4.965844],[6.335331 4.631761],[5.643534 5.348700],[4.887936 5.064966],[4.860228 4.811336],[4.648665 5.589959],[5.385605 4.697865],[5.690092 5.462618],[5.571232 4.942811],[5.168083 4.741737],[4.681076 5.235801],[4.657040 3.993022],[5.851951 6.148535],[5.653074 6.031395],[5.490132 5.161728],[5.486100 4.803388],[5.613203 5.351973],[4.938878 5.617729],[5.317243 6.028407],[5.884112 5.448635],[5.401201 4.715816],[5.221669 5.113476],[4.905856 4.294210],[5.235733 4.843203],[4.682466 5.572742],[4.363463 4.829312],[4.901496 6.008297],[5.250428 4.205717],[4.976917 4.520288],[5.581726 4.788410],[5.911965 5.204575],[5.103612 5.410665],[5.291609 5.284029],[5.071696 5.353745],[5.458023 5.345854],[5.147251 4.772768],[3.842683 4.708277],[5.787875 5.577278],[5.893019 5.185289],[6.600203 4.295093],[5.167212 5.512718],[5.089529 5.606402],[4.155002 4.574906],[4.691720 5.459049],[4.586468 4.771020],[4.184762 5.071647],[5.386273 5.279658],[5.737868 5.863613],[4.382938 5.271156],[4.652679 5.417243],[4.743863 6.543425],[4.793234 5.333283],[5.965846 5.249216],[4.769742 4.917970],[5.746656 5.158854],[4.344453 5.308560],[4.246778 4.086277],[3.694647 4.763897],[4.711398 4.677619],[5.558145 4.685259],[5.163736 4.413523],[5.543370 4.582444],[5.681169 4.733668],[5.590518 4.629289],[5.096697 5.609082],[5.268971 4.789663],[4.897732 5.674257],[5.156769 4.706968],[5.203902 5.527721],[4.072884 5.061257],[5.242613 5.095119],[3.717020 4.845127],[6.001797 4.345918],[5.511184 4.250796],[4.715600 4.353484]
[3.265312 3.964267],[2.460025 4.338669],[3.031789 3.014744],[4.611084 3.473050],[3.944478 4.760226],[2.789989 4.673842],[3.723924 4.128352],[3.018901 2.316974],[4.047297 3.755453],[4.171919 3.266341],[2.421923 2.987193],[3.849865 3.107555],[3.579909 3.983547],[2.966139 3.861734],[4.895888 3.079603],[2.441125 3.635005],[3.863830 4.250713],[3.448822 3.221274],[3.903066 4.154399],[2.889895 4.929679],[3.320329 4.757341],[2.857717 3.464408],[3.843888 5.020353],[3.458671 3.840119],[3.840188 5.050580],[3.400128 3.369997],[3.356918 3.254132],[4.340508 4.380994],[3.423040 4.226101],[3.880390 3.328437],[3.262568 5.431186],[4.924415 3.737204],[4.896296 4.439281],[3.204811 4.564953],[3.554720 3.287614],[3.448577 2.852017],[3.679957 2.903867],[4.633528 5.624787],[2.774481 3.458520],[3.148663 3.264534],[4.278445 3.583213],[2.526733 5.149338],[3.021539 3.434444],[4.622999 3.666324],[3.887953 4.898017],[3.546271 3.867183],[5.089041 3.113136],[4.182547 3.224928],[4.942652 3.792074],[3.791074 3.868098],[3.561523 4.311540],[3.470933 3.033600],[2.447527 3.048075],[4.534831 3.351786],[5.322862 3.506409],[4.325933 5.105672],[4.931086 3.066868],[4.070347 3.786179],[2.783835 4.759743],[3.264490 3.202951],[4.635968 3.491284],[2.712175 3.720156],[2.472868 5.126215],[3.729540 4.395331],[4.560873 3.261651],[2.859734 2.744530],[3.191943 4.392494],[3.136899 3.381648],[3.848052 4.379214],[3.816231 3.781590],[3.191819 4.842358],[4.700945 4.428956],[3.167212 3.922214],[2.988972 2.730150],[3.713486 3.927303],[3.576611 4.670466],[3.869636 4.694722],[2.104481 2.834935],[3.234534 2.786595],[3.124617 4.321645],[3.349136 3.369488],[2.881401 2.986170],[2.878887 3.336345],[4.144681 3.330285],[4.997586 3.530943],[3.638650 3.317502],[4.304082 3.620817],[3.827382 3.281567],[3.519313 3.445502],[3.818960 4.223041],[4.341535 4.466941],[4.456860 5.054111],[4.956136 3.726330],[4.462011 3.212614],[3.005824 4.607968],[4.074806 4.753457],[2.554693 4.274104],[5.215226 3.380737],[3.137711 3.473080],[2.791662 2.986770]
[0.440301 1.189236],[0.479267 1.582317],[1.262394 2.376735],[1.151277 2.367336],[-0.362168 2.336990],[0.210547 0.470258],[2.792124 1.416289],[1.071028 0.866187],[1.776566 1.198919],[1.678125 2.202939],[0.703856 2.443592],[1.149188 1.577336],[1.888810 2.330535],[2.160802 2.274912],[1.195563 1.469020],[0.457553 2.822662],[3.103270 3.029723],[1.923681 1.452554],[1.222820 1.570371],[1.437192 1.435499],[1.205800 1.485354],[0.266755 2.658847],[1.287331 1.723358],[2.534706 1.366580],[-0.143952 4.303808],[1.038886 1.656778],[0.494253 1.914052],[-0.226996 2.892940],[2.432284 1.425238],[1.749612 1.989414],[1.082812 1.952669],[-0.023601 1.754330],[0.915473 2.664249],[1.420780 3.417126],[0.665481 2.136359],[2.745385 1.655293],[1.208812 2.233134],[-0.568326 4.654911],[0.952013 1.451357],[1.429569 1.666098],[0.419623 2.841262],[0.300028 2.861022],[0.725651 1.393669],[0.767807 1.238952],[1.848226 4.209912],[0.305925 2.462920],[3.561516 1.884569],[2.952217 2.457415],[2.391838 1.815607],[2.619463 1.235841],[1.119135 1.559926],[0.757311 1.409280],[0.733179 2.360503],[4.273845 2.248355],[3.289459 2.182089],[1.299271 4.270402],[4.816496 1.659836],[0.883657 2.309009],[0.934180 0.744931],[1.109678 1.400948],[1.059667 2.825406],[1.919068 2.880938],[0.209017 0.334014],[0.274424 1.439847],[-0.646457 1.910052],[0.553745 1.503487],[1.181196 2.961440],[1.485045 2.516171],[0.885248 1.287573],[2.868956 1.663645],[1.261519 0.765416],[0.645149 1.919836],[-0.117228 1.732359],[1.918690 1.553311],[0.477098 2.231527],[2.200789 0.728095],[0.096373 2.713969],[0.173798 1.627795],[1.325685 1.761911],[0.030338 1.587153],[1.809223 2.007779],[1.605006 2.368861],[1.232274 1.912037],[1.834753 2.486168],[0.212416 2.824737],[1.862089 2.485226],[0.569964 1.694879],[1.892160 1.861166],[-0.245155 2.581470],[0.150877 1.307480],[1.655246 3.481590],[2.354490 0.311441],[4.232931 3.201591],[3.268510 1.708065],[2.256126 2.750892],[-0.182156 3.138049],[1.865858 1.760374],[-0.710105 2.573040],[-0.046870 2.388599],[1.485146 2.003033]
[-1.129818 -1.001746],[-1.013297 -1.796396],[-1.619022 -0.342673],[-1.923032 0.317092],[-2.368793 -1.708374],[-1.082122 -1.865146],[0.084718 -1.168587],[-0.089743 -0.432339],[-2.131914 -0.992217],[-0.800470 -1.790710],[-0.630063 0.333029],[-1.757778 0.526635],[-1.034791 -1.645348],[0.009562 1.132000],[-0.862972 -0.323508],[-0.891028 1.682246],[-2.610811 0.753787],[-1.813323 -0.077983],[-1.417084 -1.975340],[-1.627068 -2.089125],[-1.264685 -0.640921],[-1.032726 0.283814],[-0.153105 -0.669759],[-1.109277 -1.816547],[-1.829695 3.395107],[-0.631257 -1.005751],[-1.076698 -1.436067],[-1.889767 -0.905036],[-2.481289 -1.107602],[-0.697564 -1.953718],[-1.172797 -0.584409],[-2.382134 -1.016877],[-1.491422 -2.667280],[-1.332471 -3.209879],[-1.492756 0.203908],[2.197816 -0.293718],[-0.789485 -0.367318],[-3.147259 -0.742476],[0.033208 -0.389941],[0.531928 -1.385558],[-1.680399 0.958848],[-0.888979 -1.195529],[-0.963520 -0.039832],[-1.697158 -0.473609],[-2.195262 -0.098351],[-1.403613 -2.358039],[0.675992 0.188021],[-0.778795 1.941363],[-2.793270 0.408325],[-0.008046 -1.082663],[-0.648370 -1.924786],[-0.968317 -1.107662],[-0.317149 1.762051],[3.081631 -0.281658],[-3.238158 -1.185225],[-1.335444 0.663887],[-1.775785 -0.399370],[-1.549053 -2.277950],[-0.319245 -1.496487],[-1.491059 -0.346583],[-2.238322 2.403257],[-0.471995 0.704284],[-0.922909 -2.062086],[-1.474007 -1.133333],[-1.763994 1.074873],[-0.966184 0.776726],[-1.100962 1.464330],[0.576905 0.523533],[-1.694792 -1.926837],[0.237815 -0.810435],[-1.553447 -1.438771],[-1.719011 0.239777],[-1.700282 -2.149412],[-1.218218 -1.307501],[-1.449047 -0.988848],[0.428245 -1.302764],[-1.691110 1.074900],[-0.723075 -0.632722],[0.275445 -0.275859],[-1.394458 0.000370],[-1.975564 -0.078341],[-0.169655 -1.879999],[0.224989 0.761340],[-0.725830 0.157669],[-2.181080 1.781630],[-0.884427 -2.125318],[-1.485367 -0.457890],[-0.396800 -1.593134],[-1.220738 1.701386],[-1.612700 -0.985015],[0.207131 1.931658],[0.818330 -2.043820],[0.717063 -2.221961],[0.093584 0.123226],[-1.292441 -2.013189],[-1.988819 -0.070300],[-1.158153 -0.083490],[-1.957102 0.876407],[-1.458238 1.538699],[-1.097033 -0.761478]
[-1.850047 -0.340467],[-0.464387 -1.893703],[-0.395000 -1.293334],[-2.458837 -0.888871],[-0.747247 -2.310772],[0.450705 -2.831262],[-1.268079 -0.753225],[-0.505118 -0.274834],[-1.760241 -0.785693],[-1.872424 -2.662683],[-0.457222 -0.995530],[0.168444 -0.556385],[-0.427069 -3.247258],[-0.934084 -0.494389],[-0.906159 -0.625858],[-1.341971 0.635831],[-3.419306 -0.967827],[-1.706372 -0.702138],[-2.437227 -2.070421],[-2.033710 -2.421394],[-1.929094 -1.689425],[-1.604442 -1.176835],[-0.800117 -1.665140],[-2.690878 -3.053906],[0.854298 -1.439199],[-0.736670 -0.121868],[-0.233222 -0.029223],[-0.247484 -2.191457],[-4.193746 -1.777902],[-0.936167 -1.649617],[-1.402839 -0.750845],[1.219927 -0.181602],[-2.680082 -4.421388],[-0.098221 -4.970205],[-0.836490 -0.905076],[1.352587 -0.598003],[-1.397520 -1.025297],[-0.234161 -3.017825],[-0.407649 -0.571279],[-0.762094 -2.359188],[-1.024973 -1.390603],[-1.229627 -3.204903],[-1.690290 -0.691721],[-1.078004 -0.769065],[-0.093124 -2.242893],[-1.551916 -2.960810],[-1.452009 -0.677086],[-2.123644 0.291523],[-2.355927 -0.313668],[-1.188849 -2.112859],[-0.373870 -2.543691],[-0.733312 -1.852686],[-0.400159 -1.212798],[-3.408281 -0.872562],[-1.695909 -1.740566],[-2.400511 -2.034646],[-2.677253 -0.586936],[-0.565974 -2.783851],[-0.617571 -0.078470],[-1.351182 -0.976132],[-1.875979 1.963026],[-1.359828 -1.322735],[0.385755 -3.216918],[-0.178255 -1.041625],[-0.791489 -0.097139],[-0.824816 0.048977],[-0.824916 -1.371042],[-0.763686 -0.530288],[-0.729178 -0.295399],[-1.087918 -0.640469],[-0.652431 -1.769743],[0.342242 -0.609039],[-0.564821 -2.514729],[-0.244787 -0.877368],[-0.370727 -1.852330],[-0.747369 0.256462],[0.581728 -0.010144],[-0.335886 -1.739903],[-0.322921 -0.666042],[0.724646 -0.641902],[-2.187599 -0.844810],[-0.532981 -1.478384],[-0.353187 -0.489762],[-1.346141 -1.054929],[-0.819727 -0.754443],[-1.289734 -0.775809],[-1.462778 -1.242287],[-0.846356 -1.070467],[0.100987 0.137408],[-2.056470 -1.795522],[-0.648469 0.689523],[-0.614462 -2.862497],[-1.750797 -4.161979],[-1.493879 -0.669193],[-2.213614 -0.372252],[-2.773494 -1.505236],[-1.389152 -1.003891],[-0.550519 -0.152621],[-0.099737 -0.681647],[-2.102374 -1.163751]
[-1.224308 0.760404],[0.685013 -0.958074],[0.271726 0.801304],[0.090714 -1.477161],[0.349033 -2.225000],[0.616456 1.513152],[-1.619695 1.021720],[-0.335892 0.262096],[-0.931201 -0.539858],[-0.314346 -1.055391],[0.565658 -0.980044],[0.998398 0.004399],[0.580111 1.505286],[-0.190603 -1.166858],[-0.321261 0.428737],[-1.057914 -0.209132],[0.648008 -0.719069],[1.861873 -0.866844],[-0.982172 1.577142],[-0.608368 2.377581],[0.732796 -1.957148],[-0.375999 -0.236706],[-1.039749 -1.177975],[1.480768 -3.531128],[1.260030 -1.505269],[-0.085040 0.386502],[0.401902 0.968976],[1.182235 -0.003640],[-0.558239 -1.472423],[-0.204662 1.119106],[-1.165254 0.435016],[0.934821 0.532448],[0.443186 -1.613139],[0.540061 0.606669],[0.010390 0.350774],[-0.283681 0.325189],[0.927293 -0.435372],[1.608514 0.526521],[-0.197913 0.619463],[-0.950373 1.557724],[0.656935 -1.257885],[-0.338652 -1.911435],[-1.894965 -1.001485],[0.771840 -0.180733],[1.278505 -0.977024],[-1.499280 -2.200289],[-2.229369 -0.056834],[0.962548 -0.671747],[1.239252 -0.070491],[-1.454181 1.698025],[0.622653 -1.425752],[-0.260944 -2.118494],[-0.381831 -2.256242],[-1.012037 -0.964339],[2.342976 -0.973044],[1.807318 -1.444130],[0.105003 0.066869],[0.782427 -1.779251],[-0.285653 0.956586],[-0.229534 -0.179677],[-1.396642 -0.185840],[0.952864 -0.973142],[0.775652 0.610674],[0.767295 1.291634],[0.812646 -0.515230],[0.580131 -0.297802],[1.042613 -1.754129],[0.028517 -0.189527],[0.749333 1.270606],[-1.047789 0.705333],[1.266663 -0.354523],[1.146973 0.346389],[0.007227 -0.736302],[0.828091 1.114937],[0.944210 -1.916210],[0.286777 0.888438],[1.366306 -0.360687],[0.357756 -1.518021],[0.093887 0.138881],[1.471317 -0.219336],[-1.697970 -0.678198],[-0.705690 1.924627],[0.094827 -0.314764],[-0.648148 0.139647],[1.503356 -1.636736],[0.583316 0.428050],[0.314615 0.180709],[-0.368368 1.452529],[0.753335 -0.672090],[0.938158 1.079806],[0.222038 0.010861],[-1.218107 -1.248849],[-0.240891 2.337103],[-1.960462 0.164281],[1.515766 0.490836],[0.063997 -1.914779],[1.150110 0.272065],[0.657412 -0.233388],[0.850675 -1.720280],[0.829171 0.472171]
[-0.787653 0.419444],[0.526955 0.740761],[0.473637 1.548380],[1.392578 0.696266],[0.410605 0.417723],[0.010259 2.080052],[-0.557702 0.252489],[-0.010144 0.481599],[1.254746 0.586596],[0.908874 -0.132587],[0.757231 0.531585],[0.083708 0.391865],[0.337513 2.037553],[0.184289 -1.263650],[0.441287 0.655675],[-0.573648 -0.211075],[1.690351 0.890886],[1.391360 -0.427608],[1.580219 1.230529],[0.464120 3.005717],[0.813705 -0.043262],[0.527003 0.296662],[-1.085542 1.526397],[2.672314 1.028289],[0.308706 1.521871],[0.331150 0.482105],[0.200100 0.922396],[1.542251 1.228641],[1.662164 -1.112017],[0.281034 1.277908],[1.261258 0.666941],[0.622357 0.064638],[1.387290 1.526185],[0.405830 3.274426],[0.539221 0.829965],[-0.761968 0.411254],[0.874535 0.706981],[1.806096 1.413142],[0.181506 0.312891],[-0.173853 1.819831],[0.831678 -1.153841],[0.557525 2.663139],[0.081081 -0.717468],[0.758261 0.345685],[0.466173 0.615269],[-0.280625 -0.430359],[0.372972 0.281466],[1.372306 -0.276379],[1.915355 0.108210],[0.988145 0.894633],[0.334186 1.772693],[0.650691 -0.013224],[-0.082438 -1.453436],[1.041256 0.577257],[2.993675 1.329898],[3.889796 0.908422],[1.496131 0.393772],[0.681963 1.122127],[0.429307 0.434303],[0.482703 0.460521],[-1.002384 -0.960928],[1.315036 0.586601],[-0.088212 1.535616],[0.417184 1.102380],[0.755386 0.319895],[0.576224 -0.117189],[1.006536 1.073271],[0.557989 0.007965],[1.025488 -0.106213],[0.066495 0.416360],[2.068040 1.061033],[1.106095 0.505002],[0.395077 1.415384],[0.589244 1.114117],[1.226178 0.616886],[0.617499 1.142428],[0.026484 0.170818],[0.676538 0.948629],[0.308995 0.399502],[0.882387 0.014407],[1.651675 -0.290251],[0.343385 0.067231],[0.339095 0.395821],[-0.117489 0.615722],[0.605332 -0.127632],[1.179848 0.848728],[0.950466 0.676399],[0.560375 0.905045],[0.706998 0.045307],[0.946630 0.947856],[0.557994 -0.267319],[-1.175609 1.345938],[0.816569 4.795756],[-1.800982 0.423592],[3.206223 0.141002],[1.510116 -0.787280],[0.448631 0.593113],[0.314061 0.080834],[0.072965 0.522965],[2.059157 1.213761]
[0.053408 0.234542],[-0.084627 0.290105],[0.270864 0.526229],[-0.383523 0.840108],[0.056767 1.138667],[-0.239491 1.845253],[0.276203 -0.451029],[0.356792 0.022295],[0.770277 0.971391],[1.302992 0.418868],[-0.198715 0.844152],[-0.339508 0.132751],[-0.033661 2.215442],[0.227346 0.987297],[0.498801 -0.059317],[0.268454 0.105832],[-0.012698 1.129863],[-0.177620 0.046250],[2.719046 0.913480],[0.498340 2.881335],[0.300010 0.953621],[0.330013 0.496623],[-0.554862 2.870829],[1.510148 1.423167],[-0.500672 2.556288],[0.323335 -0.051261],[-0.039788 0.627248],[1.645136 -0.194011],[1.232296 -0.040586],[0.420236 -0.599163],[1.081306 -0.224530],[0.178106 -0.164951],[1.435400 1.473257],[0.017039 -0.009179],[0.482571 0.123949],[-0.022990 0.236600],[-0.170204 0.595212],[-0.462565 1.196821],[0.299716 -0.214154],[0.580922 1.559439],[0.916216 0.679660],[0.596473 2.291922],[1.102006 0.898055],[0.551596 0.057080],[-0.590000 0.608637],[0.583416 0.686331],[1.393072 0.096986],[-0.866086 0.321870],[1.943176 0.155614],[0.976031 0.426570],[-0.068204 3.111001],[0.099505 1.124962],[0.316709 -1.030653],[0.239985 1.264459],[-0.304373 1.355674],[3.953817 0.635976],[1.599553 0.263416],[0.305743 1.403336],[0.364180 -0.352352],[0.564871 0.431279],[-0.077522 0.142838],[-0.040989 0.810006],[-0.357235 0.748308],[-0.296712 -0.129492],[-0.329811 0.404750],[0.175117 -0.010713],[-0.109904 0.485711],[0.792208 0.121774],[-0.505163 -0.769076],[0.670914 0.088755],[-0.338265 1.170724],[0.322707 -0.119315],[0.139467 0.535493],[0.389945 -0.878730],[-0.290036 1.603700],[-0.097746 0.058168],[-0.569112 0.378073],[0.700003 1.571363],[0.026793 0.049976],[-0.847222 0.149929],[2.917727 0.118465],[0.621543 -0.862134],[0.388331 0.296250],[0.198035 0.549992],[-0.385262 0.681566],[0.153788 0.972366],[0.212128 0.298486],[0.445813 -0.308278],[0.559603 0.417776],[-0.130578 -0.098133],[0.361058 0.193986],[0.906076 1.520545],[0.139644 0.026443],[-0.049860 -0.134719],[-1.756937 -0.140051],[0.664957 1.077484],[-0.434810 -0.062002],[-0.238627 0.219395],[-0.308077 1.204927],[1.201437 0.081980]
[0.407292 -0.042236],[-0.197056 -0.474566],[-0.188393 -0.113017],[-0.684309 0.491528],[-0.142590 0.322720],[-0.152449 0.836055],[0.262583 -0.395501],[0.104940 -0.233493],[-0.499396 0.593161],[0.810640 0.653268],[-0.385990 0.066876],[-0.274038 -0.274351],[-0.210380 -0.480703],[0.216688 0.470500],[-0.388923 -0.405210],[0.455267 0.078296],[-0.824925 1.185924],[-0.886700 0.203390],[-0.761844 0.740391],[-0.271540 1.418222],[-0.278823 1.135833],[-0.090074 0.188439],[-0.196257 2.077859],[0.113305 0.013543],[-0.026212 -1.576365],[-0.180303 -0.233917],[-0.085390 0.225665],[1.602098 -0.714188],[0.419026 0.543320],[0.454503 -1.440930],[0.283655 -0.613560],[-0.064479 -0.017240],[1.272383 -0.734147],[-0.177357 -1.650982],[-0.408472 -0.387996],[0.399203 0.001358],[-0.685907 0.460303],[-1.399272 0.818927],[0.240869 -0.398766],[0.241336 -1.123916],[0.539789 0.616079],[-0.115944 1.413189],[-0.144846 0.758964],[-0.108756 -0.154259],[-0.061303 -0.439445],[-0.072484 0.185393],[-0.014218 -0.149406],[-1.243504 0.145055],[-0.372539 0.178635],[-0.825250 -0.611771],[-0.233733 2.196868],[-0.310424 0.066138],[0.247654 -0.148176],[-0.455228 1.114253],[-1.626067 -0.211569],[1.634300 -0.536893],[-1.032193 0.016192],[-0.128378 0.549150],[-0.277888 -0.588424],[0.092046 -0.426564],[0.526107 0.659385],[-0.652212 0.287340],[-0.158077 -0.698276],[-0.400609 -0.661936],[-0.450330 0.136452],[-0.058060 0.043475],[-0.517505 -0.502447],[0.779019 0.029450],[-1.076224 0.078316],[0.866766 -0.257273],[-1.532708 1.208931],[-0.269392 -0.414215],[-0.188494 -0.255063],[-0.118533 -0.678358],[-0.743571 -0.291616],[-0.288367 -0.546279],[0.092304 0.056632],[-0.333292 -0.833293],[-0.115551 -0.128778],[-0.356508 0.070116],[-1.309300 0.136635],[0.226516 0.031528],[0.164839 -0.067234],[0.089967 -0.269370],[-0.510129 -0.113154],[-0.504398 0.697381],[-0.455963 -0.235203],[0.073097 -0.545542],[0.370177 0.269217],[-0.545223 -0.532669],[0.139968 0.043124],[0.422707 0.382058],[-0.275039 -2.392530],[0.898584 -0.173661],[-1.384803 -0.224583],[0.042397 1.947858],[-0.555440 -0.291377],[-0.314995 0.207017],[-0.077623 0.034906],[-1.472365 -0.541723]
[-0.068965 -0.128143],[0.170555 -0.383724],[-0.358896 -0.423177],[0.176408 -0.108630],[-0.101268 -0.462236],[0.178118 -0.240628],[-0.187965 -0.112588],[-0.137388 -0.027407],[-0.295697 -0.371749],[0.199957 -0.302201],[0.176819 -0.341185],[0.133663 -0.420452],[-0.246975 -1.261457],[0.105706 -0.370943],[-0.700747 -0.505464],[-0.282958 -0.060384],[-0.859137 0.828910],[0.508095 -0.010687],[-1.267623 0.015992],[-0.201234 -2.117490],[-0.263776 -0.152283],[-0.122769 -0.119820],[0.106364 -2.342235],[-0.665214 -0.724197],[0.288806 -1.770094],[-0.402321 -0.032781],[0.074491 -0.193609],[-0.318430 -0.027332],[-0.503353 -0.234030],[-0.007617 -0.539152],[-0.294681 0.031301],[-0.041501 0.070042],[-0.387479 -1.396040],[-0.209521 -0.532740],[-0.209783 -0.151379],[0.303078 -0.137006],[0.102157 0.244304],[-0.619522 -0.037781],[0.165155 -0.000904],[-0.038865 -2.171980],[-0.154994 0.207950],[-0.221372 -0.257436],[-0.750280 0.652133],[-0.295947 -0.256202],[0.208040 -0.819924],[-0.394093 -0.316177],[-0.699034 -0.020745],[1.081056 -0.157301],[-1.104671 0.127355],[-0.988775 -0.756512],[-0.106318 -1.175442],[-0.205548 -0.558106],[0.027869 0.563819],[-0.748728 -0.745209],[-1.817452 -0.960703],[-1.248377 -0.679914],[-2.217621 -0.111929],[-0.166933 -0.723006],[-0.299752 0.019095],[-0.189525 -0.037354],[0.194471 0.663880],[-0.009000 -0.442729],[0.020970 -0.613278],[-0.367027 0.160002],[-0.019354 -0.163488],[-0.051513 -0.005659],[-0.272062 -0.774720],[-0.151588 -0.018050],[-1.263910 0.343299],[0.590241 0.054244],[0.488041 1.036893],[-0.495381 -0.024862],[0.020747 -0.318660],[-0.191085 0.360730],[-0.689142 -1.144802],[0.083213 0.183111],[0.323697 -0.160087],[-0.679970 -1.966950],[-0.109859 -0.065574],[0.497198 -0.016714],[-1.281811 0.066376],[-0.214294 0.454662],[-0.121888 -0.186581],[-0.062930 -0.169807],[-0.354945 -0.359109],[-0.810016 0.260772],[-0.587289 -0.071716],[-0.149986 -0.433098],[0.269622 0.157215],[-0.219351 0.217329],[-0.209071 -0.108931],[-0.524686 -0.262172],[-0.158873 -2.037478],[0.160181 -0.088290],[1.589079 -0.122514],[-0.308720 -1.288905],[-0.248319 -0.158009],[-0.316015 -0.056851],[0.156432 -0.630826],[-2.653602 -0.541737]
[-0.287285 -0.082619],[0.300910 0.353811],[-0.355374 -0.348090],[0.385724 -0.304881],[0.056390 -0.402058],[0.146163 -0.735557],[-0.324314 0.120332],[-0.204448 0.086433],[0.104948 -0.329725],[-0.159177 -0.300624],[0.312017 -0.495344],[0.247936 0.268862],[0.166780 -0.067307],[-0.031465 -0.214384],[0.140896 -0.141161],[-0.514126 -0.055200],[0.787938 -1.023707],[0.389458 -0.115472],[-0.103443 -0.358636],[-0.083276 -1.186967],[0.197432 -0.794036],[-0.044960 -0.186675],[0.131981 -0.656564],[-0.918706 -0.482558],[0.299671 1.513911],[-0.407815 0.113265],[0.123548 -0.234135],[-1.237995 0.341123],[-0.041572 -0.246961],[-0.215268 0.566950],[-0.493188 0.274436],[0.079960 0.051113],[-0.839841 -0.487068],[0.180566 0.660762],[0.007861 0.131127],[0.010455 -0.174945],[0.339983 0.082743],[0.257041 -0.453019],[-0.040652 0.192422],[-0.088580 -0.344139],[-0.355287 -0.282433],[-0.236987 -0.888274],[0.007468 0.428759],[-0.226590 -0.002617],[0.005609 -0.357929],[-0.093826 -0.424066],[-0.406918 0.050739],[0.531451 -0.289913],[-0.883857 0.069010],[-0.417969 0.045266],[0.172652 -1.381727],[0.195270 -0.587062],[-0.084124 0.899558],[-0.448417 -0.920983],[0.649508 0.054975],[-0.257910 -0.533934],[1.026820 -0.138908],[-0.163539 -0.895420],[0.230324 0.300059],[-0.174609 0.187233],[-0.055826 -0.423686],[0.348452 -0.753259],[0.104598 0.085659],[-0.293630 0.470451],[0.216631 -0.178803],[-0.017186 -0.031064],[0.413841 0.528140],[-0.322125 -0.032717],[0.527816 0.084562],[-0.405668 0.087829],[0.566067 -0.637604],[0.049958 0.188970],[0.118612 0.233713],[0.114603 0.782328],[-0.390697 0.591432],[0.231354 0.527442],[0.303521 0.000539],[-0.324961 -1.603102],[0.031226 0.029814],[0.650192 -0.045760],[0.037315 -0.100532],[-0.173611 -0.247220],[-0.174553 0.082144],[-0.133071 0.048699],[0.196365 -0.198562],[-0.420940 -0.289239],[-0.066202 0.048359],[0.052661 0.352294],[0.070724 -0.220604],[0.158674 0.161905],[-0.298449 -0.030474],[-0.152567 -0.270229],[0.066228 1.890113],[-0.484198 0.043695],[0.403944 -0.028167],[0.026281 -0.925993],[-0.000190 0.086767],[0.268625 -0.185892],[0.041215 -0.025007],[-1.584509 0.261872]
